Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
53,TCP,10.0.2.15,8.241.129.126,49750,80,,,http,"4,404","4,569,114 Bytes","4,745,744 Bytes",644.7 KB/Sec,10/25/2022 8:40:26 AM:543,10/25/2022 8:51:23 AM:948,10:57.4
54,UDP,10.0.2.15,192.168.0.1,53447,53,,,domain,2,139 Bytes,263 Bytes,,10/25/2022 8:40:39 AM:213,10/25/2022 8:40:39 AM:213,00:00.0
55,UDP,10.0.2.15,10.0.2.255,138,138,,,netbios-dgm,6,"1,206 Bytes","1,603 Bytes",0.2 KB/Sec,10/25/2022 8:40:58 AM:918,10/25/2022 8:53:01 AM:308,12:02.4
56,UDP,10.0.2.15,192.168.0.1,57440,53,,,domain,2,164 Bytes,290 Bytes,,10/25/2022 8:41:01 AM:699,10/25/2022 8:41:01 AM:761,00:00.1
57,UDP,10.0.2.15,239.255.255.250,57441,1900,,,ssdp,8,"1,400 Bytes","1,827 Bytes",,10/25/2022 8:41:03 AM:214,10/25/2022 8:41:06 AM:260,00:03.0
58,TCP,10.0.2.15,40.64.66.113,49756,443,,,https,40,"8,642 Bytes","10,507 Bytes",562.6 KB/Sec,10/25/2022 8:41:10 AM:401,10/25/2022 8:41:11 AM:371,00:01.0
59,UDP,10.0.2.15,192.168.0.1,50981,53,,,domain,2,234 Bytes,367 Bytes,,10/25/2022 8:41:11 AM:089,10/25/2022 8:41:11 AM:089,00:00.0
60,TCP,10.0.2.15,40.119.249.228,49757,443,,,https,57,"37,010 Bytes","39,546 Bytes",,10/25/2022 8:41:11 AM:154,10/25/2022 8:41:11 AM:698,00:00.5
61,TCP,10.0.2.15,40.64.66.113,49759,443,,,https,39,"9,046 Bytes","10,871 Bytes",,10/25/2022 8:41:12 AM:292,10/25/2022 8:41:14 AM:136,00:01.8
62,UDP,10.0.2.15,192.168.0.1,62015,53,,,domain,2,234 Bytes,367 Bytes,,10/25/2022 8:41:14 AM:011,10/25/2022 8:41:14 AM:027,00:00.0
63,TCP,10.0.2.15,40.119.249.228,49760,443,,,https,44,"24,531 Bytes","26,547 Bytes",,10/25/2022 8:41:14 AM:105,10/25/2022 8:41:14 AM:495,00:00.4
64,TCP,10.0.2.15,40.64.66.113,49761,443,,,https,44,"10,268 Bytes","12,293 Bytes",626.7 KB/Sec,10/25/2022 8:41:14 AM:558,10/25/2022 8:41:15 AM:589,00:01.0
65,UDP,10.0.2.15,192.168.0.1,64519,53,,,domain,2,217 Bytes,354 Bytes,,10/25/2022 8:41:16 AM:417,10/25/2022 8:41:16 AM:417,00:00.0
66,TCP,10.0.2.15,104.120.154.29,49762,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,21,"7,197 Bytes","8,297 Bytes",11.5 KB/Sec,10/25/2022 8:41:16 AM:449,10/25/2022 8:43:00 AM:965,01:44.5
67,UDP,10.0.2.15,192.168.0.1,56904,53,,,domain,2,214 Bytes,350 Bytes,,10/25/2022 8:41:17 AM:027,10/25/2022 8:41:17 AM:042,00:00.0
68,TCP,10.0.2.15,104.120.154.29,49763,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,21,"7,250 Bytes","8,349 Bytes",17.4 KB/Sec,10/25/2022 8:41:17 AM:058,10/25/2022 8:42:37 AM:214,01:20.2
69,TCP,10.0.2.15,40.119.249.228,49764,443,,,https,54,"37,058 Bytes","39,474 Bytes",2261.8 KB/Sec,10/25/2022 8:41:17 AM:277,10/25/2022 8:41:18 AM:167,00:00.9
