Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
11177,UDP,10.15.13.182,10.0.2.4,57921,32490,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:830,11/8/2022 12:53:55 PM:830,00:00.0
11178,UDP,10.15.13.182,10.0.2.4,57921,32491,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:832,11/8/2022 12:53:55 PM:832,00:00.0
11179,UDP,10.15.13.182,10.0.2.4,57921,32492,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:833,11/8/2022 12:53:55 PM:833,00:00.0
11180,UDP,10.15.13.182,10.0.2.4,57921,32493,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:835,11/8/2022 12:53:55 PM:835,00:00.0
11181,UDP,10.15.13.182,10.0.2.4,57921,32494,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:837,11/8/2022 12:53:55 PM:837,00:00.0
11182,UDP,10.15.13.182,10.0.2.4,57921,32495,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:838,11/8/2022 12:53:55 PM:838,00:00.0
11183,UDP,10.15.13.182,10.0.2.4,57921,32496,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:839,11/8/2022 12:53:55 PM:839,00:00.0
11184,UDP,10.15.13.182,10.0.2.4,57921,32497,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:840,11/8/2022 12:53:55 PM:840,00:00.0
11185,UDP,10.15.13.182,10.0.2.4,57921,32498,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:842,11/8/2022 12:53:55 PM:842,00:00.0
11186,UDP,10.15.13.182,10.0.2.4,57921,32499,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:843,11/8/2022 12:53:55 PM:843,00:00.0
11187,UDP,10.15.13.182,10.0.2.4,57921,32500,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:844,11/8/2022 12:53:55 PM:844,00:00.0
11188,UDP,10.15.13.182,10.0.2.4,57921,32501,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:844,11/8/2022 12:53:55 PM:844,00:00.0
11189,UDP,10.15.13.182,10.0.2.4,57921,32502,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:845,11/8/2022 12:53:55 PM:845,00:00.0
11190,UDP,10.15.13.182,10.0.2.4,57921,32503,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:845,11/8/2022 12:53:55 PM:845,00:00.0
11191,UDP,10.15.13.182,10.0.2.4,57921,32504,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:846,11/8/2022 12:53:55 PM:846,00:00.0
11192,UDP,10.15.13.182,10.0.2.4,57921,32505,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:846,11/8/2022 12:53:55 PM:846,00:00.0
11193,UDP,10.15.13.182,10.0.2.4,57921,32506,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:847,11/8/2022 12:53:55 PM:847,00:00.0
11194,UDP,10.15.13.182,10.0.2.4,57921,32507,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:847,11/8/2022 12:53:55 PM:847,00:00.0
11195,UDP,10.15.13.182,10.0.2.4,57921,32508,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:848,11/8/2022 12:53:55 PM:848,00:00.0
11196,UDP,10.15.13.182,10.0.2.4,57921,32509,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:848,11/8/2022 12:53:55 PM:848,00:00.0
11197,UDP,10.15.13.182,10.0.2.4,57921,32510,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:849,11/8/2022 12:53:55 PM:849,00:00.0
11198,UDP,10.15.0.40,239.255.255.250,1900,1900,,,ssdp,2,703 Bytes,"1,118 Bytes",22.1 KB/Sec,11/8/2022 12:53:55 PM:861,11/8/2022 12:53:55 PM:886,00:00.0
11199,UDP,10.15.4.170,239.255.255.250,62824,1900,,,ssdp,4,696 Bytes,"1,010 Bytes",0.2 KB/Sec,11/8/2022 12:53:56 PM:642,11/8/2022 12:53:59 PM:591,00:02.9
11200,UDP,10.15.4.170,239.255.255.250,62825,1900,,,ssdp,3,525 Bytes,812 Bytes,0.2 KB/Sec,11/8/2022 12:53:56 PM:743,11/8/2022 12:53:59 PM:592,00:02.8
11201,UDP,10.15.0.27,239.255.255.250,1900,1900,,,ssdp,4,"1,424 Bytes","1,893 Bytes",92.7 KB/Sec,11/8/2022 12:53:57 PM:515,11/8/2022 12:53:57 PM:519,00:00.0
11202,UDP,10.15.13.147,239.255.255.250,54541,1900,,,ssdp,4,700 Bytes,"1,015 Bytes",0.2 KB/Sec,11/8/2022 12:53:57 PM:733,11/8/2022 12:54:00 PM:804,00:03.1
11203,UDP,10.15.13.176,239.255.255.250,50712,1900,,,ssdp,1,125 Bytes,306 Bytes,,11/8/2022 12:53:57 PM:947,11/8/2022 12:53:57 PM:947,00:00.0
11204,UDP,10.15.12.114,239.255.255.250,47635,1900,,,ssdp,3,375 Bytes,612 Bytes,0.6 KB/Sec,11/8/2022 12:53:58 PM:244,11/8/2022 12:53:58 PM:854,00:00.6
11205,UDP,10.15.13.147,239.255.255.250,54540,1900,,,ssdp,3,522 Bytes,808 Bytes,0.2 KB/Sec,11/8/2022 12:53:58 PM:458,11/8/2022 12:54:00 PM:719,00:02.3
11206,UDP,10.15.0.44,239.255.255.250,1900,1900,,,ssdp,2,658 Bytes,"1,071 Bytes",,11/8/2022 12:54:00 PM:031,11/8/2022 12:54:00 PM:031,00:00.0
11207,UDP,10.15.13.127,239.255.255.250,60291,1900,,,ssdp,4,700 Bytes,"1,015 Bytes",4.4 KB/Sec,11/8/2022 12:54:00 PM:467,11/8/2022 12:54:00 PM:618,00:00.2
11208,TCP,10.15.13.182,13.76.153.29,64399,443,Likhita-PC,trouter-azsc-asse-0-b.cloudapp.net,https,6,908 Bytes,"1,439 Bytes",0.1 KB/Sec,11/8/2022 12:54:00 PM:602,11/8/2022 12:54:12 PM:777,00:12.2
11209,TCP,10.15.13.182,209.197.3.8,64400,80,Likhita-PC,vip0x008.map2.ssl.hwcdn.net,http,19,"1,311 Bytes","2,632 Bytes",0.1 KB/Sec,11/8/2022 12:54:00 PM:603,11/8/2022 12:54:18 PM:022,00:17.4
11210,TCP,10.15.13.182,209.197.3.8,64401,80,Likhita-PC,vip0x008.map2.ssl.hwcdn.net,http,19,"1,311 Bytes","2,644 Bytes",0.1 KB/Sec,11/8/2022 12:54:00 PM:604,11/8/2022 12:54:18 PM:023,00:17.4
11211,TCP,10.15.13.182,209.197.3.8,64402,80,Likhita-PC,vip0x008.map2.ssl.hwcdn.net,http,21,"1,311 Bytes","2,760 Bytes",0.1 KB/Sec,11/8/2022 12:54:00 PM:605,11/8/2022 12:54:19 PM:345,00:18.7
11212,TCP,10.15.13.182,51.132.193.105,64403,443,Likhita-PC,,https,14,868 Bytes,"1,721 Bytes",0.0 KB/Sec,11/8/2022 12:54:00 PM:606,11/8/2022 12:54:18 PM:022,00:17.4
11213,TCP,10.15.13.182,209.197.3.8,64404,80,Likhita-PC,vip0x008.map2.ssl.hwcdn.net,http,20,"1,311 Bytes","2,708 Bytes",0.1 KB/Sec,11/8/2022 12:54:00 PM:610,11/8/2022 12:54:19 PM:346,00:18.7
11214,UDP,10.15.10.93,239.255.255.250,60364,1900,LAPTOP-A5PFM6ER,,ssdp,3,510 Bytes,792 Bytes,0.2 KB/Sec,11/8/2022 12:54:01 PM:669,11/8/2022 12:54:03 PM:771,00:02.1
