Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
14,UDP,10.15.3.58,239.255.255.250,41828,1900,,,ssdp,3,375 Bytes,612 Bytes,0.0 KB/Sec,11/8/2022 12:52:06 PM:408,11/8/2022 12:52:58 PM:653,00:52.2
15,UDP,0.0.0.0,255.255.255.255,68,67,,,bootpc,2,630 Bytes,"1,036 Bytes",0.0 KB/Sec,11/8/2022 12:52:06 PM:519,11/8/2022 12:53:32 PM:967,01:26.4
16,UDP,10.15.13.179,10.0.2.4,56329,2,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:52:07 PM:287,11/8/2022 12:52:07 PM:287,00:00.0
17,UDP,10.15.13.179,10.0.2.4,28382,41586,Sumedha,,,"9,743","97,430 Bytes","370,272 Bytes",0.8 KB/Sec,11/8/2022 12:52:07 PM:288,11/8/2022 12:54:03 PM:707,01:56.4
18,UDP,10.15.13.179,10.0.2.4,56329,3,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:290,11/8/2022 12:52:07 PM:292,00:00.0
19,UDP,10.15.13.179,10.0.2.4,56329,4,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:294,11/8/2022 12:52:07 PM:296,00:00.0
20,UDP,10.15.13.179,10.0.2.4,56329,5,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:300,11/8/2022 12:52:07 PM:302,00:00.0
21,UDP,10.15.13.179,10.0.2.4,56329,6,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:303,11/8/2022 12:52:07 PM:306,00:00.0
22,UDP,10.15.13.179,10.0.2.4,56329,7,Sumedha,,echo,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:308,11/8/2022 12:52:07 PM:309,00:00.0
23,UDP,10.15.13.179,10.0.2.4,56329,8,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:312,11/8/2022 12:52:07 PM:316,00:00.0
24,UDP,10.15.13.179,10.0.2.4,56329,9,Sumedha,,discard,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:317,11/8/2022 12:52:07 PM:319,00:00.0
25,UDP,10.15.13.179,10.0.2.4,56329,10,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:321,11/8/2022 12:52:07 PM:324,00:00.0
26,UDP,10.15.13.179,10.0.2.4,56329,11,Sumedha,,systat,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:326,11/8/2022 12:52:07 PM:327,00:00.0
27,UDP,10.15.13.179,10.0.2.4,56329,12,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",179.7 KB/Sec,11/8/2022 12:52:07 PM:327,11/8/2022 12:52:07 PM:328,00:00.0
28,UDP,10.15.13.179,10.0.2.4,56329,13,Sumedha,,daytime,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:328,11/8/2022 12:52:07 PM:329,00:00.0
29,UDP,10.15.13.179,10.0.2.4,56329,14,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:52:07 PM:330,11/8/2022 12:52:07 PM:330,00:00.0
