Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
5364,UDP,10.15.13.179,10.0.2.4,54793,31612,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:054,11/8/2022 12:17:16 PM:390,01:39.3
5365,UDP,10.15.13.179,10.0.2.4,54793,31613,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:057,11/8/2022 12:17:16 PM:393,01:39.3
5366,UDP,10.15.13.179,10.0.2.4,54793,31614,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:060,11/8/2022 12:17:16 PM:394,01:39.3
5367,UDP,10.15.13.179,10.0.2.4,54793,31615,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:062,11/8/2022 12:17:16 PM:398,01:39.3
5368,UDP,10.15.13.179,10.0.2.4,54793,31616,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:15:37 PM:064,11/8/2022 12:15:37 PM:066,00:00.0
5369,UDP,10.15.13.179,10.0.2.4,54793,31617,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:068,11/8/2022 12:17:16 PM:400,01:39.3
5370,UDP,10.15.13.179,10.0.2.4,54793,31619,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:069,11/8/2022 12:17:16 PM:406,01:39.3
5371,UDP,10.15.13.179,10.0.2.4,54793,31620,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:072,11/8/2022 12:17:16 PM:409,01:39.3
5372,UDP,10.15.13.179,10.0.2.4,54793,31621,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:076,11/8/2022 12:17:16 PM:410,01:39.3
5373,UDP,10.15.13.179,10.0.2.4,54793,31622,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:078,11/8/2022 12:17:16 PM:412,01:39.3
