Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
519,TCP,10.0.2.15,41.63.105.128,50565,80,,https-41-63-105-128.hyd.llnw.net,http,3,321 Bytes,802 Bytes,,10/25/2022 9:33:17 AM:876,10/25/2022 9:33:21 AM:314,00:03.4
520,UDP,10.0.2.15,142.250.195.227,61840,443,,maa03s43-in-f3.1e100.net,https,14,"11,221 Bytes","12,891 Bytes",730.5 KB/Sec,10/25/2022 9:33:22 AM:077,10/25/2022 9:33:26 AM:372,00:04.3
521,TCP,10.0.2.15,13.107.4.50,50566,80,,,http,3,441 Bytes,"1,042 Bytes",,10/25/2022 9:33:22 AM:549,10/25/2022 9:33:24 AM:715,00:02.2
522,UDP,10.0.2.15,123.176.33.81,61937,443,,broadband.actcorp.in,https,33,"15,820 Bytes","18,022 Bytes",965.6 KB/Sec,10/25/2022 9:33:28 AM:284,10/25/2022 9:33:34 AM:223,00:05.9
523,TCP,10.0.2.15,41.63.105.0,50567,80,,https-41-63-105-0.hyd.llnw.net,http,"4,511","4,804,140 Bytes","4,984,941 Bytes",2502.2 KB/Sec,10/25/2022 9:33:32 AM:024,10/25/2022 9:39:38 AM:315,06:06.3
524,UDP,10.0.2.15,192.168.0.1,54249,53,,,domain,4,296 Bytes,487 Bytes,,10/25/2022 9:33:32 AM:484,10/25/2022 9:33:33 AM:897,00:01.4
525,TCP,10.0.2.15,172.217.141.166,50568,443,,maa05s38-in-f6.1e100.net,https,93,"73,620 Bytes","77,897 Bytes",2319.2 KB/Sec,10/25/2022 9:33:34 AM:467,10/25/2022 9:33:56 AM:419,00:22.0
526,TCP,10.0.2.15,172.217.141.166,50569,443,,maa05s38-in-f6.1e100.net,https,14,"5,759 Bytes","6,876 Bytes",351.5 KB/Sec,10/25/2022 9:33:34 AM:467,10/25/2022 9:33:45 AM:121,00:10.7
527,UDP,10.0.2.15,173.194.52.231,61945,443,,bom07s42-in-f7.1e100.net,https,10,"11,847 Bytes","13,405 Bytes",723.1 KB/Sec,10/25/2022 9:33:37 AM:857,10/25/2022 9:33:44 AM:902,00:07.0
528,UDP,10.0.2.15,192.168.0.1,62987,53,,,domain,6,561 Bytes,807 Bytes,34.2 KB/Sec,10/25/2022 9:33:43 AM:228,10/25/2022 9:33:47 AM:545,00:04.3
529,TCP,10.0.2.15,20.50.201.200,50570,443,,,https,37,"14,564 Bytes","16,300 Bytes",14.9 KB/Sec,10/25/2022 9:33:43 AM:521,10/25/2022 9:37:04 AM:159,03:20.6
530,TCP,10.0.2.15,13.107.4.50,50572,80,,,http,3,425 Bytes,"1,010 Bytes",,10/25/2022 9:33:44 AM:796,10/25/2022 9:33:45 AM:823,00:01.0
531,TCP,10.0.2.15,13.107.4.50,50571,80,,,http,3,425 Bytes,"1,010 Bytes",,10/25/2022 9:33:44 AM:798,10/25/2022 9:33:45 AM:823,00:01.0
532,TCP,10.0.2.15,173.194.52.231,50574,443,,bom07s42-in-f7.1e100.net,https,24,"11,964 Bytes","13,481 Bytes",376.9 KB/Sec,10/25/2022 9:33:45 AM:560,10/25/2022 9:34:01 AM:210,00:15.7
533,TCP,10.0.2.15,173.194.52.231,50573,443,,bom07s42-in-f7.1e100.net,https,90,"74,456 Bytes","78,613 Bytes",2345.5 KB/Sec,10/25/2022 9:33:45 AM:663,10/25/2022 9:34:01 AM:211,00:15.5
